Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
424,0.15692026,650.306403,0.001537737,1.294461276,1,-185.0516715,108.6645425,-0.027099447,-0.405102319,0.287624601
425,0.162353958,649.5004499,0.001539645,1.253482164,1,-182.3575027,110.8215348,-0.026933715,-0.3987576,0.291075429
426,0.16794155,648.6931825,0.001541561,1.214029988,1,-179.6592321,112.9819237,-0.026766908,-0.392418211,0.294532859
427,0.173686319,647.8845853,0.001543485,1.176039843,1,-176.9568577,115.1456922,-0.026599009,-0.386084122,0.297996791
428,0.179591589,647.0746429,0.001545417,1.139449896,1,-174.2503773,117.312823,-0.026430001,-0.379755306,0.301467124
429,0.185660728,646.2633397,0.001547357,1.104201231,1,-171.5397891,119.4832989,-0.026259866,-0.373431735,0.304943761
430,0.191897147,645.4506598,0.001549305,1.070237695,1,-168.8250909,121.6571024,-0.026088585,-0.367113381,0.308426603
431,0.198304299,644.6365873,0.001551262,1.037505758,1,-166.1062808,123.8342162,-0.025916142,-0.360800217,0.311915553
432,0.204885681,643.8211062,0.001553226,1.005954375,1,-163.3833569,126.0146227,-0.025742516,-0.354492215,0.315410515
433,0.211644833,643.0042004,0.0015552,0.975534865,1,-160.6563171,128.1983042,-0.025567689,-0.348189349,0.318911393
434,0.218585336,642.1858535,0.001557182,0.946200784,1,-157.9251595,130.3852431,-0.025391641,-0.341891591,0.322418092
435,0.225710817,641.3660491,0.001559172,0.917907819,1,-155.1898821,132.5754214,-0.025214352,-0.335598916,0.325930518
436,0.233024945,640.5447706,0.001561171,0.890613675,1,-152.450483,134.7688213,-0.025035803,-0.329311296,0.329448576
437,0.240531431,639.7220013,0.001563179,0.864277977,1,-149.7069603,136.9654248,-0.024855972,-0.323028706,0.332972175
438,0.248234031,638.8977242,0.001565196,0.838862175,1,-146.9593119,139.1652138,-0.024674839,-0.31675112,0.336501222
439,0.256136543,638.0719225,0.001567221,0.814329452,1,-144.2075359,141.3681701,-0.024492381,-0.310478512,0.340035625
440,0.264242808,637.2445789,0.001569256,0.790644635,1,-141.4516305,143.5742756,-0.024308578,-0.304210856,0.343575294
